name,matched_on_ot,platform_in_booking_master,url
caffe de la venezia,Caffe De La Venezia,website,https://www.caffedelavenezia.com/
calaveras corner,Calaveras Corner,resy,https://resy.com/cities/new-york-ny/venues/calaveras-corner
canaletto restaurant,Canaletto,website,https://www.instagram.com/canalettonyc/
cantina 138,Cantina 138,website,http://www.cantina138.com/
cantina cubana,Cantina Cubana,website,https://cantinacubananyc.com/
cantina sundown,Cantina Sundown,website,https://www.cantinasundown.com/
canto upper west side,Canto,resy,https://resy.com/cities/new-york-ny/venues/canto-upper-west-side
caravan of dreams,Caravan of Dreams,website,https://www.caravanofdreams.net/
caravan uyghur cuisine,Caravan Uyghur Cuisine,website,https://www.caravanuyghur.com/
carbone,Carbone,resy,https://resy.com/cities/new-york-ny/venues/carbone
cardamom indian cuisine,Cardamom Indian Cuisine,website,https://cardamomny.com/
casa andrea,Casa Andrea,website,http://www.casaandreanyc.com/
casa bond,Casa Bond,website,http://casabondnoho.com/
casa del mar restaurant,Casa Del Mar - Bronx,website,http://www.casadelmarbronx.com/
casa lever,Casa Lever,resy,https://resy.com/cities/new-york-ny/venues/casa-lever
casa mexicana,Casa Mexicana,website,http://www.casamexicananyc.com/
casa mono / bar jamon,Casa Mono and Bar Jamón,website,http://www.casamononyc.com/
casa tulum,Casa Tulum,website,https://www.tulumbrooklyn.com/
casa tuya,Casa Tuya,website,https://nycasatuya.com/
casino,Casino,website,https://www.casinonyc.info/
caviar by dnhg,Caviar By DNHG,website,https://www.caviarkaspiany.com/
caviar kaspia at the mark,Caviar Kaspia at the Mark,resy,https://resy.com/cities/new-york-ny/venues/caviar-kaspia-at-the-mark
cedric's at the shed,Cedric's at The Shed,website,http://www.cedricsattheshed.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs
celeste,Celeste,website,https://celesterestaurantny.com/?utm_source=google
cha kee,Cha Kee,website,http://www.cha-chan-tang.com/
chama mama,Chama Mama,website,https://www.chamamama.com/location/chama-mama/?utm_source=gmb&utm_medium=organic&utm_campaign=local&utm_id=gmb-chelsea
