name,matched_on_ot,platform_in_booking_master,url
saraghina caffe,Saraghina Caffé,resy,https://resy.com/cities/new-york-ny/venues/saraghina-caffe
savannah spiced,Savannah Spiced,website,https://savannahspicednyc.com/
sawaan thai,Sawaan Thai,website,https://sawaanthainy.com
scalinatella restaurant,Scalinatella,website,http://www.scalinatella.com
scalino g.p.,Scalino GP,website,https://scalinogpny.com/
scavello's on the island,Scavello's on the Island,website,http://www.scavellocityisland.com/
schnitzel haus,Schnitzel Haus,website,http://www.schnitzelhausny.com/
scottadito osteria toscana,Scottadito Osteria Toscana,website,http://www.scottadito.com/
sea witch,Sea Witch,website,http://seawitchnyc.com/
sekai omakase,Sekai Omakase,resy,https://resy.com/cities/new-york-ny/venues/sekai-omakase
seoul bap,Seoul BAP,resy,https://resy.com/cities/new-york-ny/venues/seoul-bap
set l.e.s.,SET L.E.S.,website,https://set-hospitality.getbento.com/location/set-les
sette mezzo,Sette Mezzo,website,https://settemezzonyc.com/
settepani,Settepani,website,http://www.settepani.com/
seva indian cuisine,Seva Indian Cuisine,website,http://www.sevaindianrestaurant.com/
shabushabu mayumon,Shabushabu Mayumon,website,http://shabushabumayumon.com/
shaking crab - brooklyn,Shaking Crab - Brooklyn,website,http://www.shakingcrab.com/parkslope
shanghai mong,Shanghai Mong,website,http://www.shanghaimongnyc.com/
shanghai villa,Shanghai Villa,website,https://menuorg.online/mobile-shop/shop/65900
shiki omakase,Shiki Omakase,resy,https://resy.com/cities/new-york-ny/venues/shiki-omakase
shinn east,Shinn East,resy,https://resy.com/cities/new-york-ny/venues/shinn-east
shinpi omakase,Shinpi Omakase,resy,https://resy.com/cities/new-york-ny/venues/shinpi-omakase
shinzo omakase,Shinzo Omakase,resy,https://resy.com/cities/new-york-ny/venues/shinzo-omakase
shion 69 leonard street,Shion 69 Leonard Street,website,http://www.69leonardstreet.com
shoo shoo nolita,Shoo Shoo Nolita,resy,https://resy.com/cities/new-york-ny/venues/shoo-shoo
shoshin 68,Shoshin 68,resy,https://resy.com/cities/new-york-ny/venues/shoshin68
shuzixiang hotpot,ShuZiXiang HotPot,walk_in,
siam thai restaurant,Siam Thai,website,https://www.siamthaieatery.com/
silvana,Silvana,website,http://silvana-nyc.com/
simply noodles & dim sum,Simply Noodles & Dim Sum - Bryant Park,website,https://simplynoodlesdimsum.com/
sip & co.,Sip & Co.,website,http://sipandco.co/
smeat and hueso,S-Meat & Hueso,website,https://www.instagram.com/s.meathueso.nyc
smithereens,Smithereens,resy,https://resy.com/cities/new-york-ny/venues/smithereens
smoke bbq pit,Smoke BBQ Pit,website,http://www.smokebbqpit.com/
sociale,Sociale,resy,https://resy.com/cities/new-york-ny/venues/sociale
soda club,Soda Club,resy,https://resy.com/cities/new-york-ny/venues/soda-club
soho park,SoHo Park - Downtown,website,https://www.lapecorabianca.com/
soho sushi,Soho Sushi,website,https://sohosushi.getsauce.com/?utm_source=GMB&utm_medium=Website%20button&utm_id=Soho%20Sushi
sol et soleil,Sol Et Soleil,resy,https://resy.com/cities/new-york-ny/venues/sol-et-soleil
soledad restaurants,Soledad,resy,https://resy.com/cities/new-york-ny/venues/soledad
soleluna,Soleluna,website,http://www.solelunanyc.com/
someday,Someday Bar NYC,website,http://somedaysbakery.com/
somtum der - east village,Somtum Der,resy,https://resy.com/cities/new-york-ny/venues/somtum-der-east-village
sophie's cuban cuisine,Sophie's Cuban Cuisine,website,https://sophiescuban.com/?y_source=1_MjYwMDkwNDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
sophra grill,Sophra Grill,website,https://www.sophragrill.com/
soup n burger,Soup N Burger - NYC,website,http://www.soupnburger.com/
south of the clouds,South of the Clouds,website,https://www.southofthecloudsnyc.com/
southern charm restaurant,Southern Charm,website,https://charmbarrestaurant.com/?utm_source=google
southern spice,Southern Spice,website,https://thesouthernspice.com/
spaghetti incident,Spaghetti Incident,resy,https://resy.com/cities/new-york-ny/venues/spaghetti-incident
spice brothers,Spice Brothers,unknown,
spice mantra,Spice Mantra,resy,https://resy.com/cities/new-york-ny/venues/spice-mantra
spoon table and bar,Spoon Table & Bar,website,http://www.spoontbsp.com/
spring shabushabu,Spring Shabu-Shabu,website,http://www.springshabu.com/
spy c cuisine,Spy C Cuisine,website,https://www.spyc7206.com/
st. cloud  charlie palmer at the knick,Charlie Palmer at The Knick,website,https://www.charliepalmersteak.com/charlie-palmer-steak-iv/
steak frites bistro,Steak Frites Bistro,website,http://www.steakfritesbistro.com/
studio 59,Studio 59,website,https://www.bloomingdales.com/stores/ny/newyork/studio-59_1-s59.html
sugar bowl,Sugar Bowl,website,https://m.facebook.com/profile.php?id=145657445457304
summer salt,Summer Salt,website,http://summersaltnyc.com/
sunflower gramercy,Sunflower - Gramercy,website,http://sunflowergramercy.com/
sushi & co,The Sushi Co - Ealing,website,http://www.sushinco.com/
sushi 456,Sushi 456,website,http://sushi456.com/
sushi ajjo,Sushi ajjo,website,http://www.sushiajjo.com/
sushi ann,Sushi Ann,resy,https://resy.com/cities/new-york-ny/venues/sushi-ann
sushi blossoms,Sushi Blossoms,resy,https://resy.com/cities/new-york-ny/venues/sushi-blossoms
sushi dojo,Sushi Dojo,walk_in,
sushi jin,Sushi Jin,website,http://www.sushijinny.com/
sushi kaito,Sushi Kaito,resy,https://resy.com/cities/new-york-ny/venues/sushi-kaito
sushi king,Sushi King,walk_in,
sushi koya,Sushi Koya,resy,https://resy.com/cities/new-york-ny/venues/sushi-koya
sushi lin upper west side,Sushi Lin,website,https://www.sushilinny.com/
sushi makoto – omakase,Sushi Makoto - Omakase,resy,https://resy.com/cities/new-york-ny/venues/sushi-makoto
sushi masu,Sushi Masu - Omakase,resy,https://resy.com/cities/new-york-ny/venues/sushi-masu
sushi mumi,Sushi mumi,resy,https://resy.com/cities/new-york-ny/venues/sushi-mumi
sushi on jones,Sushi on Jones - West Village,website,https://www.sushionjones.com/
sushi saikou,Sushi Saikou,website,http://www.sushisaikounyc.com
sushi seki times square,Sushi Seki,website,https://sushiseki.com/
sushi yashin,Sushi Yashin,website,https://www.sushiyashin.com/
sushi yolo,Sushi Yolo,resy,https://resy.com/cities/new-york-ny/venues/sushi-yolo
swagat,Swagat,website,https://www.swagatny.com/
sweet basil,Sweet Basil,website,https://sweetbasilwoodside.square.site/
swingers,Swingers,website,https://swingers.club/us/locations/nyc?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=nyc
szechuan garden,Szechuan Garden,website,http://www.szechuangourment.com/?utm_source=google&utm_medium=search
szechuan mountain house,Szechuan Mountain House - Manhattan,website,https://www.szechuanmountainhouse.com/
taci's beyti,Tacis Beyti,website,https://tacisbeyti.com/
taco bar,The Taco Bar,website,https://thetacobarbk.com/?utm_source=google
taco vista (governors island),Taco Vista,website,http://www.tacovista.co/
takumi omakase,TAKUMI OMAKASE,resy,https://resy.com/cities/new-york-ny/venues/takumi-omakase
talk of the town,Talk Of The Town,walk_in,
tam mai thai,Tam Mai Thai,website,https://www.tammaithai.com/
tam sang thai kitchen,Tam Sang Thai Kitchen,website,https://tamsang-nyc.com/
tana thai restaurant,Tana Thai,website,https://www.tanathaibronx.com/
taqueria condesa,Taqueria Condesa,website,https://www.taqueriacondesa.com/
tartine,Tartine,website,http://tartine.nyc/
tartinery,Tartinery,website,http://www.tartinery.com/
taste from everest,Taste From Everest,website,https://www.tastefromeverestny.com/
tasty bites,Tasty Bites,walk_in,
tatsuda omakase,Tatsuda Omakase,resy,https://resy.com/cities/new-york-ny/venues/tatsuda-omakase
taverna kos,Taverna Kos,website,http://tavernakos.com/
taverna kyclades,Taverna Kyclades,website,https://www.tavernaeastvillage.com/
tavola,Tavola,website,https://tavolahellskitchen.com/
teakwood thai chophouse,Teakwood Thai Chophouse,website,https://teakwoodnyc.com/?utm_source=google
ted's corner tavern,Ted's Corner Tavern,website,http://www.tedscornertavern.com/
teddy's bar & grill,Teddy's Bar & Grill,website,https://www.teddys.nyc/
telly's taverna - astoria,Telly's Taverna,resy,https://resy.com/cities/new-york-ny/venues/tellys-taverna-astoria
tenzan,Tenzan - 2nd Ave.,website,https://www.tenzan52midtown.getsauce.com/?utm_source=GMB&utm_medium=Website+Button&utm_id=tenzan52midtown
tfs burger works,TFS Burger Works - Williamsburg,website,https://tfsburgerworks.com/
thai peppercorn,Thai Peppercorn,walk_in,
thai tree nyc,Thai Tree,website,https://thaitreenyc.com/
thailicious,Thailicious,website,http://www.thailiciousny.com/
the archer,The Archer,website,https://www.akbhotelbar.com/location/new-york?utm_source=google&utm_medium=organic&utm_campaign=business_listing
the bedford stone street,The Bedford Stone Street,resy,https://resy.com/cities/new-york-ny/venues/the-bedford-stone-street
the belvedere club,The Belvedere Club @ Casa Belvedere,website,https://www.thebelvedereclub.net/
the black whale,The Black Whale,website,https://theblackwhalefb.wixsite.com/theblackwhaleci
the brewery bar & kitchen,The Brewery Bar & Kitchen,website,http://www.thebrewery.nyc/
the castello plan,The Castello Plan,website,https://thecastelloplan.com/
the cliff,Cliff House - Terrace,website,http://www.thecliffjc.com/
the commerce inn,The Commerce Inn,resy,https://resy.com/cities/new-york-ny/venues/the-commerce-inn
the corner store,The Corner Store,website,https://www.thecornerstoresoho.com/
the dean nyc,The Dean,website,http://www.thedeannyc.com/
the eighty six,The Eighty Six,website,http://the86.nyc/
the flying cock,The Flying Cock,resy,https://resy.com/cities/new-york-ny/venues/the-flying-cock
the four horsemen,The Four Horsemen,resy,https://resy.com/cities/new-york-ny/venues/the-four-horsemen
the fulton on pier 17,Pier 17,website,https://www.thefulton.nyc/?utm_source=gbp&utm_medium=web
the globe tavern,The Globe Tavern,website,http://www.theglobeny.com/
the good fork,The Good Fork - Brooklyn,website,http://www.goodfork.com/
the grand feast,The Grand Feast,resy,https://resy.com/cities/new-york-ny/venues/the-grand
the great indian kitchen,The Great Indian Kitchen,website,https://www.orderindiankitchenny.com/
the hideaway seaport,Hideaway Seaport,walk_in,
the hop shoppe,The Hop Shoppe,website,http://www.thehopshoppe.com/
the islands,The Islands,website,http://islandny.com/
the keg room,The Keg Room,website,http://thekegroom.nyc/
the kitchen table at the modern,The Kitchen Table at The Modern,resy,https://resy.com/cities/new-york-ny/venues/the-kitchen-table-at-the-modern
the kunjip,Kunjip - Mountain View,website,https://www.kunjip.nyc/
the lambs club,The Lambs Club - Bar,resy,https://resy.com/cities/new-york-ny/venues/the-lambs-club
the leroy house,The Leroy House,walk_in,
the loyal,The Loyal,website,https://www.loyalrestaurant.com/
the mac shack,Mac Shack,website,http://www.macshackny.com/
the migrant kitchen,The Migrant Kitchen,website,http://www.themigrantkitchen.com/
the monkey king,The Monkey King,resy,https://resy.com/cities/new-york-ny/venues/the-monkey-king
the noble,The Noble,unknown,
the nuaa table,The Nuaa Table,resy,https://resy.com/cities/new-york-ny/venues/the-nuaa-table
the office of mr moto,The Office Of Mr. Moto,website,http://www.dearmrmoto.com/
the old standard,The Old Standard,website,http://www.theoldstandardbk.com/
the polo bar,The Polo Bar,resy,https://resy.com/cities/new-york-ny/venues/the-polo-bar
the reading room,The Reading Room,resy,https://resy.com/cities/new-york-ny/venues/the-reading-room
the rusty face,The Rusty Face,walk_in,
the simone,The Simone,unknown,
the smile of the beyond,Smile of the Beyond,website,http://www.smileofthebeyond.com/
the smoke house,Smoke House,website,https://thesmokehouse.shop/
the spotted owl,The Spotted Owl,website,http://www.thespottedowltavern.com/
the trestle,The Trestle,website,http://trestleastoria.com/
the tuck room,The Tuck Room- New York,website,https://www.thetuckroom.com/locations/new-york-city-ny?utm_source=google&utm_medium=local_listings&utm_campaign=yext
the turk's inn,The Turk's Inn,resy,https://resy.com/cities/new-york-ny/venues/the-turks-inn
the upper crust,Upper Crust,website,http://uppercrustqueens.com/
the uptown garrison,The Uptown Garrison,website,https://www.theuptowngarrison.com/
the viand,The Viand,website,http://www.theviand.com/
the village green,Village Green,website,https://www.greenkitchennyc.com/
the waylon,The Waylon,website,http://thewaylon.com/
the wild son,The Wild Son,unknown,
the wren,The Wren,website,http://www.thewrennyc.com/
thompson brooke,Thompson Brooke,walk_in,
thursday kitchen,Thursday Kitchen,website,http://www.thursdaykitchen.com/
tigerlily kitchen,Tigerlily Kitchen,website,http://tlk-nyc.com/
tikka indian grill,Tikka Indian Grill,website,https://tikkaindiangrill.com/
tim ho wan east village,Tim Ho Wan - East Village,website,http://www.timhowanusa.com/
time and tide,Time and Tide,website,https://www.timeandtide.nyc/
timur house,Timur House,unknown,
tinto,Tinto,website,https://www.tintonyc.com/
tiny's cantina,Tiny's Cantina,website,https://www.tinyscantina.com/?y_source=1_Njc4NTcxMDctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
tj asian bistro,TJ Asian Bistro,website,http://www.tjwoodside.com/
tofu tofu,Tofu Tofu,website,http://www.tofutofukoreanbbq.com/
tokyo ya,Tokyo Ya,website,https://www.tokyoyaastoria.com/
tong,Tong,resy,https://resy.com/cities/new-york-ny/venues/tong
tongdee thai,TongDee Thai,website,https://order.toasttab.com/online/tongdee-thai-bk-180-5th-ave
toro sushi bar,Toro Sushi Bar,website,https://rasushi.com/
toyo ramen bar,Toyo Ramen Bar,website,https://www.toyoramen.com/
trattoria oliveto,Trattoria Oliveto,website,https://olivetonyc.com/
trattoria ora,Trattoria Ora,website,http://www.trattoriaora.com/index.html
trattoria toscana,Trattoria Toscana,website,http://www.toscana49.com/
tre sorelle,tre sorelle,resy,https://resy.com/cities/new-york-ny/venues/tre
tu casa,Tu Casa,website,http://www.tucasarestaurant.com/
tuscan hills,Tuscan Hills,unknown,
udon lab,Udon Lab,website,http://www.udonlabnewyork.com/
umami sushi,Umami Sushi,website,https://umamisushitogo.com/
umi sushi,UMI Sushi,website,https://www.umibuffet.com/
un plaza grill,UN Plaza Grill,website,http://www.unplazagrill.com/
uncle lou,Uncle Lou,website,http://www.unclelounyc.com/
union bistro steakhouse and sushi,Union Bistro Steakhouse and Sushi,website,https://unionbistronyc.com/?utm_source=GMB&utm_medium=Website%20Button&utm_id=unionbistronyc
united kitchen,United Kitchen,website,http://united-kitchen.co.uk
unoriginal noodles,Unoriginal Noodles,website,https://www.unoriginalnoodles.com/
urban vegan roots,Urban Vegan Roots,resy,https://resy.com/cities/new-york-ny/venues/urban-vegan-roots
uva next door,Uva Next Door,resy,https://resy.com/cities/new-york-ny/venues/uva-next-door
vallarta tropical,Vallarta Tropical,resy,https://resy.com/cities/new-york-ny/venues/vallarta-tropical
veeraswamy,Veeraswamy,website,http://veerays.com
veeray da dhaba,Veeray da Dhaba,website,http://www.veeraydadhaba.com/
verona american grill,Verona American Grill,website,https://www.patinagroup.com/state-grill-and-bar
via carota,Via Carota,resy,https://resy.com/cities/new-york-ny/venues/via-carota
village grill,Village Grill,website,https://mamasgreek.com/
vincent's,Vincent's,website,http://www.originalvincents.nyc/
vinyl steakhouse,Vinyl Steakhouse,resy,https://resy.com/cities/new-york-ny/venues/vinyl-steakhouse
vite vinosteria,Vite Vinosteria,website,http://www.vitevinosteria.com/
viva cucina,Viva Cucina,unknown,
wall street grill,Wall Street Grill,resy,https://resy.com/cities/new-york-ny/venues/wall-street-grill
wallse,Wallsé,website,https://www.wallse.com/
wan waan,Wan Waan (Thai Restaurant),resy,https://resy.com/cities/new-york-ny/venues/wan-waan
wayne and sons,Wayne and Sons,website,http://wayneandsonsnyc.com/
wilfie & nell,Wilfie & Nell,website,http://www.wilfieandnell.com/
willet's corner,Willet's Corner,resy,https://resy.com/cities/new-york-ny/venues/willets-corner
wok 88,Wok 88,website,http://www.wok88inc.com/
wok wok restaurant,Wok Wok - NYC,website,http://www.wokwoknoodle.com/
wokuni broadway,Wokuni Broadway,website,http://www.wokuninyc.com/
wonder,Wonder,website,https://www.wonder.com/order/upper-east-side
wonder pig kbbq,Wonder Pig K-BBQ,website,http://www.wonderpigkbbq.com/
wu liang ye,Wu Liang Ye,website,https://wuliangyetogo.com/
xie bao,Xie Bao,walk_in,
xochitl taqueria,Xochitl Taqueria,website,https://xochitlnyc.com/
yama ramen and sushi,Yama Ramen & Sushi,website,http://yamaramen.com/
ye's apothecary,Ye's Apothecary,website,http://yesapothecary.com/
yoko-cho,Yoko-Cho,website,https://www.yokochony.com/
yono sushi,YONO Sushi,resy,https://resy.com/cities/new-york-ny/venues/yono-sushi
yummy thai,Yummy Thai- Irving,website,https://www.yummythainy.com/
zen ramen & sushi,Zen Ramen & Sushi,resy,https://resy.com/cities/new-york-ny/venues/zen-ramen-and-sushi
zen sushi omakase,Zen Sushi Omakase,website,http://zensushiomakase.com
zhong guo xiao long bao,Zhong Guo Xiao Long Bao,walk_in,
zio toto,Zio Toto - Brooklyn,walk_in,
zona de cuba,Zona de Cuba,website,https://www.zonadecuba.com/
zz's clam bar,ZZ'S Clam Bar,walk_in,
